"","PlotCode","Country","Forest","Latitude","Longitude"
"1","24MR_01","Guyana","PZ",6.14761,-58.659472
"2","24MR_02","Guyana","PZ",6.14761,-58.661279
"3","24MR_03","Guyana","TF",6.14755,-58.679348
"4","24MR_04","Guyana","TF",6.14754,-58.683865
"7","AL_01","Suriname","TF",5.34185,-55.766887
"8","AL_02","Suriname","TF",5.34017,-55.760394
"26","BB_01P","Suriname","TF",4.92882,-55.215468
"27","BB_02P","Suriname","TF",4.93232,-55.193812
"28","BB_03P","Suriname","TF",4.94663,-55.188617
"29","BB_04M","Suriname","TF",4.97184,-55.176394
"30","BB_05L","Suriname","TF",4.98666,-55.195414
"31","BB_06M","Suriname","TF",4.94249,-55.176673
"32","BB_07L","Suriname","TF",4.92298,-55.129613
"33","BB_08L","Suriname","TF",4.93231,-55.144426
"34","BB_09S","Suriname","TF",4.9471,-55.187209
"38","BIT_01","Suriname","TF",5.07297,-56.205732
"39","BIT_02","Suriname","PZ",5.08293,-56.196591
"40","BIT_03","Suriname","PZ",5.08293,-56.19696
"41","BIT_04","Suriname","TF",5.08519,-56.194702
"52","BSH_01","Suriname","PZ",5.14205,-55.783508
"53","BSH_02","Suriname","PZ",5.14508,-55.783619
"54","BSH_03","Suriname","PZ",5.14508,-55.782718
"61","CAMOUDI","Guyana","TF",5.03333,-58.8
"79","CHBR_01","Guyana","TF",4.94998,-58.359018
"80","CHBR_02","Guyana","PZ",4.95,-58.35
"81","CHBR_03","Guyana","PZ",4.94996,-58.368035
"82","CHBR_04","Guyana","TF",4.92287,-58.349945
"100","FTC_01","Guyana","PZ",6.62791,-58.872617
"101","FTC_02","Guyana","TF",6.628811,-58.872617
"102","FTC_03","Guyana","PZ",6.629712,-58.872617
"103","FTC_04","Guyana","TF",6.630613,-58.872617
"107","GOL_01","Suriname","PZ",5.2225,-55.654776
"133","IWO_01","Guyana","PZ",4.63095,-58.738855
"134","IWO_02","Guyana","TF",4.62007,-58.721124
"159","KABO_41","Suriname","TF",5.342751,-55.766887
"160","KABO_43","Suriname","TF",5.343652,-55.766887
"169","LM_01P","Suriname","TF",4.26925,-54.745006
"170","LM_02P","Suriname","TF",4.26001,-54.737893
"171","LM_03P","Suriname","TF",4.27321,-54.737269
"172","LM_04M","Suriname","TF",4.24804,-54.734398
"173","LM_05S","Suriname","TF",4.2524,-54.73425
"174","LM_06L","Suriname","TF",4.26176,-54.779957
"175","LM_07L","Suriname","TF",4.27013,-54.778816
"176","LM_08M","Suriname","TF",4.26676,-54.754819
"263","MHFR_01","Guyana","PZ",5.17887,-58.703944
"264","MHFR_02","Guyana","PZ",5.16393,-58.712139
"265","MHFR_03","Guyana","PZ",5.1826,-58.700843
"266","MHFR_04","Guyana","PZ",5.17916,-58.703548
"267","MHFR_05","Guyana","TF",5.1732,-58.69335
"268","MHFR_06","Guyana","TF",5.17391,-58.693884
"269","MHFRlATRT","Guyana","TF",5.16407,-58.685695
"270","MHFRMORT","Guyana","VA",5.16592,-58.692726
"289","NIR_01","Suriname","PZ",4.98276,-56.998385
"290","NIR_02","Suriname","PZ",4.98457,-56.998385
"291","NIR_03","Suriname","TF",4.99362,-56.998385
"292","NIR04","Suriname","TF",4.99543,-56.998385
"293","NM_01P","Suriname","TF",4.78425,-54.617983
"294","NM_02P","Suriname","TF",4.81526,-54.612018
"295","NM_03P","Suriname","TF",4.81566,-54.603439
"296","NM_04L","Suriname","TF",4.92983,-54.523514
"297","NM_05L","Suriname","TF",4.93429,-54.515666
"298","NM_06P","Suriname","TF",4.82729,-54.61222
"369","PIB_05","Guyana","TF",5.02177,-58.621086
"370","PIB_06","Guyana","TF",5.01453,-58.62489
"371","PIB_12","Guyana","TF",5.02648,-58.60354
"457","SIMCR_01","Suriname","PZ",5.31887,-54.942224
"458","SIMCR_02","Suriname","PZ",5.31512,-54.941145
